question,answer
"Q: Sister is abusing position as Trustee of Family Trust. Can adult brother receiving SSD be named successor Trustee?. Adult sister and brother are sole beneficiaries of Trust set up by now deceased parents. Sister has ignored brother's requests for accounting, bank statements or fund disbursements, hasn't filed taxes since she became Trustee a few yrs ago, is allowing her children to use Trust assets (live in second family home rent free), etc. Brother has no solid proof of beginning or current balance or what she's already spent - and suspects much went for her personal gain or to benefit her children. Brother has CP and receives SS Disability as his sole income - but lives independently, functions well mentally - manages his residence, health and personal finances, drives, helps out an elderly relative w rides and shopping. He's rightfully concerned about what his share of Trust assets might actually still be available for his future security. If she is removed as Trustee, is being on SS Disability a legal disqualification for him being named successor Trustee by the Courts? ","A:The brother isn't 'disqualified' from being a trustee because of his status on Social Security Disability for a physical condition, but some federal benefits (specifically SSI which it sounds like may not be involved here, but I'd want to be extra sure!) may be impacted by his status as a beneficiary of a trust. Without examining all the facts it is impossible to say how that might play out, but this is NOT a 'DIY' situation. The brother needs to consult with a local Probate and disability lawyer if for no other reason than to determine what he should be doing before petitioning for a change of Trustee. Remember the 'advantage' of a Trust is that it 'avoids probate'. The only way to do what you're asking here is to open a probate case to challenge the administration of the Trust. This is not inexpensive, easy or likely to lead to future family harmony. Be sure you're entering into this with 'eyes open'. Get local legal advice and representation!"
"Q: Daughter Pregnant By Man Who Lived In Ark He Died This Year His Estate In Probate Which Ends 12/31/23 Baby Is Due Jan. She Lives In Tx, Baby Due Jan 2024 Does She Need To Contest The Probate In Both Ark & Tx ","A:It depends. Your daughter should definitely file an appearance in the probate case indicating that she is pregnant with the decedent's unborn child. If the decedent has a substantial enough estate, the child may be entitled to support from the estate and should be entitled to a share of the estate assets. Your daughter definitely needs to consult an attorney who practices in the area of probate law in or near the county where the man's probate case is currently pending. If an estate has significant assets, most probate lawyers recommend not closing probate for at least a year because creditors of the decedent have that long to make a claim. Otherwise, the executor or heirs of the decedent could be sued for unpaid debts. That's not an issue if the decedent died owning no non-exempt asstes."
Q: Official farm name in Tennessee. I’m wanting to get a official farm name in Tennessee but do not know if they will tell me to do taxes after getting one. ,"A:I assume you actually want to incorporate a farming enterprise, with the entity under a corporate name. And yes, the new corporation will have to pay taxes under a new tax id. Whether the land is part of the corporation or not needs to be carefully considered. Hire a competent TN attorney to handle this."
Q: If I’m out side of a building next to another building and the people building tell me I can’t smoke do I have to leave. Out side of value village close to a michaels but 9 meters away from the door and the employee from michaels is the one who told me not to ,"A:If you are smoking outside a building, the rights of the property owner or their representative, like an employee, to enforce smoking policies on their property should be respected. This includes spaces adjacent to the building, like walkways or parking lots, which are often considered part of the property. However, the specific rules can vary depending on local laws and ordinances. Many places have specific regulations regarding smoking near entrances, windows, and ventilation systems of public buildings. If you were 9 meters away from the door, you might be in compliance with some local regulations that dictate a minimum distance from building entrances for smoking. It's advisable to check local smoking laws and the specific policies of the establishment. If the Michaels employee asked you not to smoke near their building, even if you are closer to another establishment, it's generally best to comply or move to a different location where smoking is permitted. In such situations, cooperation and understanding of local laws and property rules are key. If you're unsure about the specific regulations in your area, you might consider consulting with local law enforcement or a legal professional for clarification."
Q: Do you represent a client that a has a case for officers violating their oath to up hold the constitutional?. I refused to ID myself. Arrested for illegal dumping. All I did was pull over and throw away the little bit of gas station at the hotel parking lot by a highway. Cleaned my car out checked the oil and there was a cop standing behind. I refused to provide my id. I have the video I can email a copy and you and make a choice. ,"A:It's important to understand that while you have the right to refuse to provide identification in certain situations, there are circumstances where this can lead to legal complications. In your case, being arrested for illegal dumping suggests that the officers believed you were committing a violation. It’s essential to consider the specifics of Missouri law regarding identification and the obligations during police encounters. Regarding your question about officers violating their oath to uphold the Constitution, this can be a complex legal issue. It often depends on the details of the interaction and whether your rights were infringed upon. If you believe your constitutional rights were violated, it's advisable to consult with an attorney who can review your video evidence and provide guidance based on the specific facts of your case. Remember, each situation is unique and legal advice should be tailored to the individual circumstances. Seeking a consultation with a lawyer who can evaluate all aspects of your situation is the best course of action to understand your rights and options moving forward."
Q: Georgia rules in collecting monies on bad checks from 2012 & 2013. About 3 weeks ago I contacted our magistrate court in Georgia in reference to another matter to learn that they had 2 checks 1 from 2012 and 1 from 2013 both are less than $500 they are testing now to collect on them is this something that they can issue a warrant for if unpaid ,"A:In Georgia, there are statutes of limitations that apply to various debts, including those stemming from bad checks. Generally, the statute of limitations for misdemeanors, which includes bad checks under $500, is two years. However, if a warrant was issued within that period, it could remain valid beyond the statute of limitations. It's important to confirm whether any legal action was taken before the statute expired. If you're facing collection attempts or potential legal action now, you should seek legal advice to understand your rights and obligations. An attorney can provide guidance on how to proceed based on the specifics of your case and can help negotiate a resolution if necessary. Keep in mind that ignoring the situation may lead to additional penalties or legal action."
Q: I (16) got into a fight with a 17 year old and they are charging me with disorderly conduct what will my consequences be. Will my charges be dropped when I’m 18 ,"A:Facing a charge of disorderly conduct at 16 can have varying consequences, depending on the specifics of your case and the laws in Utah. As a minor, your case is likely to be handled through the juvenile justice system, which often focuses more on rehabilitation rather than punishment. The exact consequences will depend on various factors, including the severity of the fight, any prior record you may have, and the specific circumstances of the incident. Possible outcomes can range from community service to probation, or in more serious cases, detention in a juvenile facility. It's a common misconception that juvenile records automatically disappear when you turn 18. While juvenile records are generally more confidential and have different rules for sealing or expungement, they don't automatically get erased upon reaching adulthood. The process for dealing with juvenile records varies by state and can depend on the nature of the offense and other factors. It's important to consult with a legal professional to understand the potential impacts of this charge on your future. An attorney can provide guidance on how to navigate the juvenile justice system, and potentially how to seek sealing or expungement of your record in the future. Remember, taking responsible steps now, including understanding your legal situation and rights, can significantly affect the outcome of your case and its impact on your future."
"Q: Hi, I'm part of the 1.9 million that got their info stolen from the Zeroed-in Tech companies' data base.. If you were in my shoes and hoping to get maximum compensated for the violation of my private information, what would be the best steps for me to take? THANKS! ","A:If your personal information was compromised in the Zeroed-in Tech data breach, the first step is to secure your personal information. Change your passwords, monitor your credit reports, and be vigilant for signs of identity theft. This proactive approach can minimize potential damage. Next, gather all relevant information about the breach and how it affected you. Documentation is key in these situations. This can include any correspondence from Zeroed-in Tech, details of any suspicious activities on your accounts, and records of any steps you've taken in response to the breach. You should also explore the possibility of joining a class action lawsuit if one is available. Class actions can often provide a more efficient way to seek compensation in cases involving large numbers of affected individuals. Be aware, though, that the compensation from such lawsuits can vary greatly. Additionally, consulting with an attorney experienced in data breach cases can provide you with specific advice tailored to your situation. An attorney can help you understand your legal rights and the viability of pursuing individual legal action for compensation. Finally, stay informed about any settlements or legal actions against Zeroed-in Tech. Being part of the affected group, you may be eligible for any compensation or remedial actions the company or courts may offer. Acting promptly and staying informed are crucial in these situations."
"Q: Real Estate Closing, NY Is it legal for my lawyer to hire a lawyer to represent me at closing, without my permission?. I was charged for the outside lawyer to represent me at the closing. ",A:It is not uncommon for law firms to assign associates or use an of counsel attorney to attend closings on behalf of a client. Your retainer agreement should specify the charges that you will incur.
Q: What to do after no response from respondent and not attending mediation. I am the petitioner and the mother. I filed 56 days ago and the respondent was ordered to respond within 21 days. He has not responded and has not made and mandatory disclosures but did attend the initial status conference where they ordered us to mediation. It was ordered to schedule mediation within 14 days and for both parties to participate in scheduling. The respondent did not answer until 20 days after the order. Which I still contacted the mediator and attempted to schedule but can not be scheduled until both parties pay the fee. I paid the fee and we are waiting on the respondent to pay his. Our mediation is supposed to be in 2 days. What can I do next if he does not pay and does not attend mediation? Can we potentially enter a default judgement? I’m not sure where to go or what to do next. Any help is appreciated! ,"A:I would suggest asking the mediator to file a certificate with the Court indicating that you attempted to schedule the mediation and paid your portion of the fees. If that does not occur, then I would file a status report with the Court stating everything you have done up to this point. Regarding the mandatory disclosures, you may want to consider filing a motion to compel his compliance. Make sure you are paying close attention to any deadlines as outlined in any case management orders including setting the matter for Final Orders. If things continue as they have been, then yes, I would request that the Court enter default orders against the Respondent."
"Q: To whom it may concernMy cousin an army veteran passed away with no will, and won a lawsuit settlement.. What action can I take if he won a lawsuit, and I was the person that provided for him when he was alive and also paid all the expenses for his funeral. I called the law firm and was told that yes he won the case however no one will be getting any of the settlement. ","A:If your cousin, an Army veteran, passed away without a will and won a lawsuit settlement, and you were the primary provider for him during his life and covered the expenses for his funeral, there are legal avenues you can explore. Despite the law firm indicating that no one will receive any of the settlement, you may have a potential claim as a surviving relative who provided support. It's essential to gather documentation that supports your role as the primary provider and your cousin's lack of a will, ensuring your contribution and relationship with the deceased are duly recognized."
"Q: Can I use trademarks names from superheroes in my story? Are some trending phrases/saying under copyright?. I saw games and Mangas use the code name ""Red hood"" and device a totally different character from DC red hood. Could I do the same if I want to use ""just"" the names of character like Doomsday, Nighthawk,Hawkeye, or winter soldier. And not their features and characteristics. In tiktok there was a saying ""it's ok not to be ok"" it is even attribute to someone but is it protected after going that far mainstream? Is the C-walk also protected? ","A:Using trademarked superhero names in your own story can be legally risky, especially if those names are well-known and closely associated with specific characters from major comic book publishers like DC or Marvel. Trademarks are designed to protect brand identity and prevent consumer confusion. If you use names like ""Doomsday,"" ""Nighthawk,"" ""Hawkeye,"" or ""Winter Soldier,"" even if you change their features and characteristics, you might still infringe upon these trademarks if your use creates a likelihood of confusion or suggests an association with the original characters. Regarding phrases like ""it's ok not to be ok,"" the copyright protection for phrases is complex. Generally, short phrases, especially those that have become common or mainstream, are not eligible for copyright protection. However, there can be exceptions, and sometimes phrases can be trademarked in specific contexts. As for dance moves like the C-walk, they typically are not protected by copyright, as copyright law does not extend to dance steps and simple routines. However, choreographed routines can sometimes be protected. If you're planning to use trademarked names or potentially copyrighted phrases in your work, it's wise to consult with a legal professional who has expertise in intellectual property law. They can provide specific guidance tailored to your situation to help avoid legal issues."
"Q: can i contest beneficiary of life insurance in louisiana. 3 policies purchased in the 70s beneficiary was changed twice, lastly to my dads oldest son they had a falling out about a year prior to his death dad changed his will to exclude his son from getting anything multiple people including non family members know of the falling out between them my dad had 3 children ",A:You will need to check the exact insurance beneficiary designation. Only if it went to the decedent's estate would it go through his will. Usually the designated beneficiary gets the money and it does not go through the estate. A disinheritance in the will does not effect an insurance death benefit unless it goes to the estate.
"Q: why is there no charge of homicide only arson.. Father was dating a girl, her x who is out of jail on bond Riverside county for assult on person with firearm (not on father) committ's an arson on father residence in twentynine Palms then drives 40 miles to another residence father has, starts a fight father 61 yrs old collapes and dies at scene. X b/f is arrested next day for Arson, no charges for what the coroner list as cause of death a homicide. X b/f again out of jail on bond for the arson. Can I file something in court to get the reports to find out why he is not charged in homicide and why he is out on two bonds from two counties on two felony charge's. the family would like to view the police report's etc (discovery?) as we feel justice is not being served for our father.suspect is 34 yrs old. please advise if we can file motion or whatever to get police report's. arson and homicide occurred 8/6/23 in san bernardino county. father was in good health, until beaten by the x b/f. no weapons were used. please advise ","A:As a former homicide prosecutor who has handled these types of situations, I can tell you that there is likely an active investigation still on-going into the homicide. Often, when prosecutors can file a serious felony right away (such as arson), they will do that in order to keep tabs on a suspect but will be patient and wait on the homicide until they have completed a more exhaustive investigation. This might be frustrating but is probably a wise move in the long run. Prosecutors may be waiting on lab results that were conducted on the victim to rule out that anything else could have caused his death. If the homicide took place on August 6, 2023, that is still pretty early on from an investigation standpoint. The San Bernardino County District Attorney's Office is not known for being ""soft-on-crime"" so you should expect that if they can prove it was a homicide then it will probably get filed at some point. Ultimately, you can always contact the District Attorney's Office and ask to speak with a victim-advocate. While they won't reveal confidential details of the investigation, they will communicate with you whatever information possible."
"Q: can my stepmother be held reliable for not giving my father the medication ""blood thinners"" that prescribed to him?. My daddy was preparing to have surgy when my stepmother quit giving him his medication without asking the doctor weeks before his surgery then daddy died from a blood clot during surgery. My stepmother gained a lot from his death plus 675,000 in life insurance. ","A:First off, I'm sure that I speak for everyone when I say that I'm sorry for your loss. The death of a parent is a difficult thing, even without the possibility that another loved one may have caused it. That said, you have asked a complex question that is masquerading as a simple one. The question, in simplest terms, is whether your stepmother can be held accountable for not giving your dad medication. However, within that simple question are several other hidden ones which would determine whether you can bring a claim for wrongful death. First, any claim for negligence involves 4 elements: (1) a duty which is (2) breached (3) causing (4) harm. Without all 4 elements being satisfied, arguably no claim arises. Did your stepmother have a duty to give your dad medication? Did she give him the medication, but the incorrect dosage? Was he competent to take his own medication? Was he in a medical facility which had a duty to give him medication? Did the lack of medication actually cause his death, or would he have died either way? These are just a few of the questions that need to be answered, and these are the questions you may wish to review with a qualified, experienced, personal injury attorney. Only after going through these questions can one determine whether a legal cause of action is viable, so I would encourage you to reach out to an attorney if you believe that your stepmother profited through foul play or true neglect. I wish you the best of luck."
Q: My adult sister is developmentally disabled.. Does #6 of 54.1-2969. Authority to consent to surgical and medical treatment apply to a family member being able to give medical consent if no one has been court appointed as guardian? ,"A:Your question indicates that your sister is an adult, not a minor (under 18). In cases when a person has not made an advanced medical directive, then Section 54.1-2986 of the Virginia Code determines the procedure for making medical decisions in the absence of an advanced medical directive. The priority for making decisions starts with guardian, then spouse, then adult child, then parent, then adult sibling."
"Q: Should the fda and cdc be legally held accountable for allowing the hemp thc-o acetate, heart/Lung issue/teeth damage. I have contacted both and have been neglected to be called back, They have known for years and after I was forced to use their safer than cannabis alternative here in Wisconsin, thc-o is everywhere and now after a rancid batch I had 2 months of a sinus infection, now heart issuses, lungs hurt and my teeth have all begun to shatter and break. Thought my heart issue were done after heart surgery. Bad enough they shoved bextra samples by the bag load when I was younger and now am reading about how bad that is too. No oversight or regulations. I used this hemp product for over a year. Last summer (155lbs) I could run 5 moles a day while still being able to work the hemp farm, no I'm down to 128lbs and heart and lungs feel like I'm dying. No insurance until February. Dr appointment on the 10th. Hope heart holds out. Corwin Richardson Cultivating Better Days Hemp Farm ","A:The FDA and CDC are federal agencies which have sovereign immunity from such lawsuits. You may however have a valid claim against the sellers and manufacturers of the Thc-o products you used. Just as with tobacco using plaintiffs, you will face comparative / proportional responsibility which may reduce or eliminate any recovery."
"Q: Regarding Senior mobile home parks and rentals in Calif.. This is regarding a nieghbor who for the last year has had a leaky roof, the park finally told her they were not going to repair the roof (cost) and told her she could move to another home that was vacant but the cost would be $500 more per month. She agreeded because she feared the mold in the old home. I could understand them letting her move, however I do not think she should pay more to do so when the problem concerned with the old home was not her fault and because she rented, they should have fixed it or let her move for the same rent. Is this LEGAL??? ","A:Under California law, landlords have a duty to maintain rental properties in a habitable condition, which includes providing a waterproofed roof in good condition. If the roof is leaky and causes mold, the landlord is generally responsible for repairing it to ensure the property remains habitable. If the landlord fails to make necessary repairs within a reasonable time after being notified, the tenant might have several remedies, including repairing and deducting the cost, abandoning the premises, or withholding rent. However, transferring a tenant to a different, more expensive unit as the sole remedy is problematic, especially if the tenant isn't at fault for the original issue. Your neighbor may have rights under the implied warranty of habitability or California's repair and deduct law. It's advisable for your neighbor to consult with legal counsel to discuss the specifics of her situation and determine the best course of action. Documentation, such as written communication about the repairs and mold concerns, can be beneficial in such discussions."
Q: Is there a way I can stop a former employer from using pictures and videos that I am in?. I worked at a haunted house and these are pictures and videos of my characters used on their website and social media. ,"A:If you are no longer employed by the haunted house and you did not sign any agreement that allows them to use your image or likeness, you may be able to take action to stop them from using your pictures and videos. Here are some steps you can take: Send a cease and desist letter: You can send a written letter to the haunted house demanding that they stop using your pictures and videos. Be sure to include specific details about the images in question, such as the dates they were taken and where they were used. You may want to seek assistance from an attorney to help you draft the letter and ensure that it is legally enforceable. Contact the social media platform: If the haunted house is using your images on social media, you can contact the platform (e.g. Facebook, Instagram) and request that they remove the images on the basis of copyright or privacy infringement. File a lawsuit: If the haunted house continues to use your images after you have sent a cease and desist letter, you may need to file a lawsuit to enforce your rights. An attorney can help you understand your legal options and represent your interests in court. Remember that the laws surrounding the use of images and likeness can be complex, and it is important to seek assistance from an attorney if you have questions or concerns. An attorney can help you navigate the legal process and work to protect your rights."
"Q: Defendants innocent, framed, left for dead, stabed head seven times, fractured faces, chest, arms, broken guns and teeth. Not only were they attacked/left for dead. They made it thru alive after being brought bk by EMT, ICU unit. Several meth drug abusers are coming forward w/lies stating they saw defendants w/weapons in hand, standing in area of crime, no one in lonely late night of event, now like ten witnesses all drug users w/criminal bkgrnd. Some one burned all evidence and crime scene, as well as took victims phone, only witness in tent at time of crime,states defendants were not the men in room at time of incident. Other two witnesses called victims children stated defendants innocent wasnt them, they framed and stated who committed crime, why and motive. Well those two witnesses were found dead and burned with in three days of call. How to prove defendants innocence ","A:I'm profoundly sorry for this distressing situation. Here's how one might approach this complex scenario: 1. First and foremost, secure an experienced criminal defense attorney immediately. 2. Collect all possible evidence and witness statements to corroborate your sons' innocence, including any alibis or surveillance footage. 3. Investigate the backgrounds of the witnesses alleging against the defendants; their credibility and criminal history can be relevant. 4. Preserve any available evidence of the defendants' physical injuries, as this might support a claim of self-defense or establish them as victims. 5. Utilize expert testimony, if needed, to analyze and counteract the evidence presented by the prosecution. 6. Document the mysterious deaths of the witnesses who vouched for the defendants' innocence, as this could point to external forces working against them. 7. Ensure that the attorney files appropriate motions, such as motions to exclude unreliable testimony or evidence. 8. Lastly, remain proactive, persistent, and transparent with your legal counsel to build the strongest possible defense."
